,0,1,"query","relations","target","primary","primary_rel","secondary_rel"
0,"What kind of chromatography is HILIC?","select ?item ?itemLabel
where {
  wd:Q5955221 (wdt:P31|wdt:P279)* ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q170050 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q5955221 (wdt:P31|wdt:P279)* ?item', '?item (wdt:P31|wdt:P279)* wd:Q170050']","['(wdt:P31|wdt:P279)*', '(wdt:P31|wdt:P279)*']","wd:Q170050","wd:Q5955221","(wdt:P31|wdt:P279)*","(wdt:P31|wdt:P279)*"
1,"Which gene is involved in Giant Axonal Neuropathy?","select ?item ?itemLabel
Where {
  wd:Q3338682 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q3338682 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q3338682","wdt:P2293","(wdt:P31|wdt:P279)*"
2,"Which gene is primarily associated with the Saethre-Chotzen syndrome?","select ?item ?itemLabel
where {
  wd:Q3508686 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .  
  ?item skos:prefLabel ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q3508686 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q3508686","wdt:P2293","(wdt:P31|wdt:P279)*"
3,"Which gene is associated with the Mitchell-Riley syndrome?","select ?item ?itemLabel
Where {
  wd:Q55784777 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .   
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q55784777 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q55784777","wdt:P2293","(wdt:P31|wdt:P279)*"
4,"Please list the 4 genes involved in Sanfilippo syndrome, also known as mucopolysaccharidosis III (MPS-III).","select distinct ?item where {
  wd:Q2200359 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
}","['wd:Q2200359 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q2200359","wdt:P2293","(wdt:P31|wdt:P279)*"
5,"Which bacteria caused plague?","select ?item ?itemLabel
Where {
  wd:Q133780 wdt:P828 ?item .
  ?item wdt:P171* wd:Q10876 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q133780 wdt:P828 ?item', '?item wdt:P171* wd:Q10876']","['wdt:P828', 'wdt:P171*']","wd:Q10876","wd:Q133780","wdt:P828","wdt:P171*"
6,"What disease is associated with mutations in the MECP2 transcription factor?","select ?item ?itemLabel
Where {
  ?item wdt:P2293 wd:Q18028997 .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['?item wdt:P2293 wd:Q18028997', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q18028997","wdt:P2293","(wdt:P31|wdt:P279)*"
7,"In what part of the body is the masseter muscle located?","select ?item where {
  wd:Q725408 wdt:P361 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q4936952 .
}","['wd:Q725408 wdt:P361 ?item', '?item (wdt:P31|wdt:P279)* wd:Q4936952']","['wdt:P361', '(wdt:P31|wdt:P279)*']","wd:Q4936952","wd:Q725408","wdt:P361","(wdt:P31|wdt:P279)*"
8,"Please list the 2 vaccine brands for herpes zoster(shingles)","select distinct ?item where {
  ?item wdt:P1924 wd:Q182155 .
  ?item (wdt:P31|wdt:P279)* wd:Q431289 .
}","['?item wdt:P1924 wd:Q182155', '?item (wdt:P31|wdt:P279)* wd:Q431289']","['wdt:P1924', '(wdt:P31|wdt:P279)*']","wd:Q431289","wd:Q182155","wdt:P1924","(wdt:P31|wdt:P279)*"
9,"Which plant is khellin extracted from?","select ?item where {
  wd:Q2079998 wdt:P703 ?item .
  ?item wdt:P171* wd:Q756 .
}","['wd:Q2079998 wdt:P703 ?item', '?item wdt:P171* wd:Q756']","['wdt:P703', 'wdt:P171*']","wd:Q756","wd:Q2079998","wdt:P703","wdt:P171*"
