,0,1,"query","relations","primary","primary_rel"
0,"What is generic name of drug Adempas?","select ?item ?itemLabel
Where {
  wd:Q29004385 wdt:P3781 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q29004385 wdt:P3781 ?item']","['wdt:P3781']","wd:Q29004385","wdt:P3781"
1,"What is the activity of Indoleamine 2,3-dioxygenase 1.","select ?item where {
  wd:Q908221 wdt:P681 ?item .
}","['wd:Q908221 wdt:P681 ?item']","['wdt:P681']","wd:Q908221","wdt:P681"
2,"Which is the target of the drug Denosumab?","select ?item ?itemLabel
Where {
  wd:Q408283 wdt:P129 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q408283 wdt:P129 ?item']","['wdt:P129']","wd:Q408283","wdt:P129"
3,"Of what origin is the MCF-7 cell line?","select ?item ?itemLabel
Where {
  wd:Q1881253 wdt:P5166 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q1881253 wdt:P5166 ?item']","['wdt:P5166']","wd:Q1881253","wdt:P5166"
4,"What is the target of the drug Olaparib?","select ?item ?itemLabel 
Where {   
wd:Q7083106 wdt:P129 ?item .   
?item rdfs:label ?itemLabel .   
filter(lang(?itemLabel) = ""en"") 
}","['wd:Q7083106 wdt:P129 ?item']","['wdt:P129']","wd:Q7083106","wdt:P129"
5,"List the drug targets of Faricimab?","select ?item where {
  wd:Q60785557 wdt:P129 ?item .
}
","['wd:Q60785557 wdt:P129 ?item']","['wdt:P129']","wd:Q60785557","wdt:P129"
6,"What is the results of mutations in the gene autoimmune regulator?","select ?item ?itemLabel
Where {
  ?item wdt:P2293 wd:Q14907298 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['?item wdt:P2293 wd:Q14907298']","['wdt:P2293']","wd:Q14907298","wdt:P2293"
7,"Where are Paneth cells located?","select ?item ?itemLabel
Where {
  wd:Q2004084 wdt:P927 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q2004084 wdt:P927 ?item']","['wdt:P927']","wd:Q2004084","wdt:P927"
8,"What is the minimum incubation period for COVID-19?","select ?item where {
  wd:Q84263196 wdt:P3488 ?item .
}","['wd:Q84263196 wdt:P3488 ?item']","['wdt:P3488']","wd:Q84263196","wdt:P3488"
9,"What is the drug forxiga used for?","select ?item ?itemLabel
Where {
  wd:Q29005884 wdt:P4044 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q29005884 wdt:P4044 ?item']","['wdt:P4044']","wd:Q29005884","wdt:P4044"
10,"What is the mode of inheritance of Facioscapulohumeral muscular dystrophy (FSHD)?","select ?item ?itemLabel
Where {
  wd:Q1399182 wdt:P1199 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q1399182 wdt:P1199 ?item']","['wdt:P1199']","wd:Q1399182","wdt:P1199"
11,"List indications for Bupropion","select distinct ?item where {
  wd:Q834280 wdt:P2175 ?item .
}","['wd:Q834280 wdt:P2175 ?item']","['wdt:P2175']","wd:Q834280","wdt:P2175"
12,"What is the function of Plasminogen activator inhibitor 1?","select ?item ?itemLabel
Where {
  wd:Q410485 wdt:P682 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q410485 wdt:P682 ?item']","['wdt:P682']","wd:Q410485","wdt:P682"
13,"What is the inheritance pattern of Huntingtons disease?","select ?item ?itemLabel
Where {
  wd:Q190564 wdt:P1199 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q190564 wdt:P1199 ?item']","['wdt:P1199']","wd:Q190564","wdt:P1199"
14,"Which human gene encode for DNA polymerase θ?","select ?item ?itemLabel
Where {
  wd:Q21101126 wdt:P702 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q21101126 wdt:P702 ?item']","['wdt:P702']","wd:Q21101126","wdt:P702"
15,"What is the mechanism of action of Brigatinib?","select ?item ?itemLabel
Where {
  wd:Q4653190 wdt:P129 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q4653190 wdt:P129 ?item']","['wdt:P129']","wd:Q4653190","wdt:P129"
16,"What is the function of the protein PIEZO1?","select ?item where {
  wd:Q21173847 wdt:P680 ?item .
}","['wd:Q21173847 wdt:P680 ?item']","['wdt:P680']","wd:Q21173847","wdt:P680"
17,"Which is the chromosomal location of the gene MAOA?","select ?item ?itemLabel
Where {
  wd:Q14888415 wdt:P4196 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q14888415 wdt:P4196 ?item']","['wdt:P4196']","wd:Q14888415","wdt:P4196"
18,"Where can you find the annulus of Zinn?","select ?item ?itemLabel
Where {
  wd:Q612431 wdt:P927 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q612431 wdt:P927 ?item']","['wdt:P927']","wd:Q612431","wdt:P927"
19,"What is the origin of  HEp-2 cells?","select ?item where {
  wd:Q16554737 wdt:P5166 ?item .
}","['wd:Q16554737 wdt:P5166 ?item']","['wdt:P5166']","wd:Q16554737","wdt:P5166"
20,"What is the function of osteolectin?","select ?item ?itemLabel
where {
  wd:Q21114195 wdt:P682 ?item .
  ?item skos:prefLabel ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q21114195 wdt:P682 ?item']","['wdt:P682']","wd:Q21114195","wdt:P682"
21,"What antibiotic is currently used against Clostridium Difficile infection?","select ?item ?itemLabel
Where {
  wd:Q574905 wdt:P2176 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q574905 wdt:P2176 ?item']","['wdt:P2176']","wd:Q574905","wdt:P2176"
22,"Which is the  subcellular localization of ERAP2?","select ?item ?itemLabel
Where {
  wd:Q21130620 wdt:P681 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q21130620 wdt:P681 ?item']","['wdt:P681']","wd:Q21130620","wdt:P681"
23,"What is the function of the protein SLC26A5?","select ?item where {
  wd:Q3402672 wdt:P680 ?item .
}","['wd:Q3402672 wdt:P680 ?item']","['wdt:P680']","wd:Q3402672","wdt:P680"
24,"What is the cause of Sandhoff disease?","select ?item ?itemLabel
Where {
  wd:Q917227 wdt:P2293 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q917227 wdt:P2293 ?item']","['wdt:P2293']","wd:Q917227","wdt:P2293"
25,"Which conditions is caused by mutations in HFE?","select ?item ?itemLabel
Where {
  wd:Q14890978 wdt:P2293 ?item .
    ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q14890978 wdt:P2293 ?item']","['wdt:P2293']","wd:Q14890978","wdt:P2293"
26,"What is the indication of Daonil (Glibenclamide)?","select ?item ?itemLabel
Where {
  wd:Q420626 wdt:P2175 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q420626 wdt:P2175 ?item']","['wdt:P2175']","wd:Q420626","wdt:P2175"
27,"What is the function of the transcriptional co-activator p300?","select ?item ?itemLabel
Where {
  wd:Q21107967 wdt:P680 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q21107967 wdt:P680 ?item']","['wdt:P680']","wd:Q21107967","wdt:P680"
28,"What is the indication for Truvada?","select ?item ?itemLabel
Where {
  wd:Q29006607 wdt:P4044 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q29006607 wdt:P4044 ?item']","['wdt:P4044']","wd:Q29006607","wdt:P4044"
29,"What is the function of calcium-sensing receptor (CaSR)?","select ?item ?itemLabel
Where {
  wd:Q417801 wdt:P682 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q417801 wdt:P682 ?item']","['wdt:P682']","wd:Q417801","wdt:P682"
30,"What is the target protein of the drug Idelalisib?","select ?item ?itemLabel
Where {
  wd:Q5908266 wdt:P129 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q5908266 wdt:P129 ?item']","['wdt:P129']","wd:Q5908266","wdt:P129"
31,"List symptoms of the Zieve's syndrome.","select distinct ?item where {
  wd:Q199295 wdt:P780 ?item .
}","['wd:Q199295 wdt:P780 ?item']","['wdt:P780']","wd:Q199295","wdt:P780"
32,"List symptoms of the IFAP syndrome.","select distinct ?item where {
  wd:Q5986440 wdt:P780 ?item .
}","['wd:Q5986440 wdt:P780 ?item']","['wdt:P780']","wd:Q5986440","wdt:P780"
33,"List signs of patients with mutations in KARS1","select ?item where {
  wd:Q18028112 wdt:P2293 ?item .
}
","['wd:Q18028112 wdt:P2293 ?item']","['wdt:P2293']","wd:Q18028112","wdt:P2293"
34,"What is the function of BAX","select ?item ?itemLabel
Where {
  wd:Q408476 wdt:P682 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q408476 wdt:P682 ?item']","['wdt:P682']","wd:Q408476","wdt:P682"
35,"What are the indications for alteplase?","select distinct ?item where {
  wd:Q45769835 wdt:P2175 ?item .
}","['wd:Q45769835 wdt:P2175 ?item']","['wdt:P2175']","wd:Q45769835","wdt:P2175"
36,"What is the causative agent of the ""Panama disease"" affecting bananas?","select ?item ?itemLabel 
Where {   
wd:Q3240031 wdt:P828 ?item .   
?item rdfs:label ?itemLabel .   
filter(lang(?itemLabel) = ""en"") 
}","['wd:Q3240031 wdt:P828 ?item']","['wdt:P828']","wd:Q3240031","wdt:P828"
37,"Which is the subcellular localization of the protein angiogenin?","select ?item ?itemLabel
Where {
  wd:Q2043052 wdt:P681 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q2043052 wdt:P681 ?item']","['wdt:P681']","wd:Q2043052","wdt:P681"
38,"Which is the causative agent of malaria?","select ?item ?itemLabel
Where {
  wd:Q12156 wdt:P828 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q12156 wdt:P828 ?item']","['wdt:P828']","wd:Q12156","wdt:P828"
39,"Which is the receptor for the immunosuppressive drug cyclosporin A (CsA)?","select ?item ?itemLabel
Where {
  wd:Q367700 wdt:P129 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q367700 wdt:P129 ?item']","['wdt:P129']","wd:Q367700","wdt:P129"
40,"What are the side effects of Nalmefene?","select distinct ?item where {
  wd:Q4353252 wdt:P1909 ?item .
}","['wd:Q4353252 wdt:P1909 ?item']","['wdt:P1909']","wd:Q4353252","wdt:P1909"
41,"Where in the body would the navicular bone be found?","select ?item ?itemLabel
Where {
  wd:Q958194 wdt:P927 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q958194 wdt:P927 ?item']","['wdt:P927']","wd:Q958194","wdt:P927"
42,"Which factor is bound by Milvexian?","select ?item where {
  wd:Q111172579 wdt:P2789 ?item .
}","['wd:Q111172579 wdt:P2789 ?item']","['wdt:P2789']","wd:Q111172579","wdt:P2789"
43,"What is the function of the protein Magt1?","select ?item ?itemLabel
Where {
  wd:Q21107967 wdt:P680 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q21107967 wdt:P680 ?item']","['wdt:P680']","wd:Q21107967","wdt:P680"
44,"What is the primary indication of tocilizumab?","select ?item ?itemLabel
Where {
  wd:Q425154 wdt:P2175 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q425154 wdt:P2175 ?item']","['wdt:P2175']","wd:Q425154","wdt:P2175"
45,"Where in the body, is ghrelin secreted?","select ?item ?itemLabel
Where {
  wd:Q21163357 wdt:P5572 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q21163357 wdt:P5572 ?item']","['wdt:P5572']","wd:Q21163357","wdt:P5572"
46,"What causes Black Lung?","select ?item ?itemLabel
Where {
  wd:Q574329 wdt:P828 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q574329 wdt:P828 ?item']","['wdt:P828']","wd:Q574329","wdt:P828"
